"","HNSCC10_p14_HNSCC10_P14_B12","HNSCC6_p15_HNSCC6_P15_LN_C05","HNSCC5_p13_P13_F09","HNSCC10_p4_HNSCC10_P4_B11","HN25_P23_H02_S278_comb","HN28_P14_C01_S121_comb","HN25_P25_F03_S351_comb","HNSCC18_P13_C04_S316_comb","HN28_P15_D03_S327_comb","HNSCC18_P7_F10_S166_comb","HNSCC25_P20_D06_S330_comb","HNSCC18_P13_C01_S313_comb","HN25_P23_C01_S217_comb","HN28_P15_B10_S310_comb","HNSCC6_p8_HNSCC6_P8_A10","HNSCC25_P20_F06_S354_comb","HN28_P14_A04_S100_comb","HNSCC10_p14_HNSCC10_P14_G09","HNSCC17_P13_H06_S378_comb","HNSCC25_P20_B07_S307_comb","HNSCC25_P3_C11_S131_comb","HNSCC25_P4_A03_S195_comb","HNSCC16_P5_HNSCC16_P5_E05","HNSCC13_p19_HNSCC13_P19_C08","HNSCC_combo1_HNSCC_ComboP1_H01","HNSCC13_p19_HNSCC13_P19_B08","HNSCC16_P5_HNSCC16_P5_C01","HNSCC16_P7_HNSCC16_P7_B04","HNSCC16_P7_HNSCC16_P7_H10","HNSCC13_p19_HNSCC13_P19_C12","HNSCC13_p19_HNSCC13_P19_B11","HNSCC25_P2_B10_S22_comb","HNSCC13_p19_HNSCC13_P19_H10","HNSCC13_p19_HNSCC13_P19_C11","HNSCC13_p19_HNSCC13_P19_A06","HNSCC13_p19_HNSCC13_P19_D03","HNSCC13_p19_HNSCC13_P19_B07","HNSCC16_P4_HNSCC16_P4_E11","HNSCC13_p19_HNSCC13_P19_A05","HNSCC16_P5_HNSCC16_P5_D09","HNSCC5_p15_HNSCC5_P15_B11","HNSCC5_p15_HNSCC5_P15_C09","HNSCC5_p13_P13_A03","HNSCC5_p15_HNSCC5_P15_C06","HNSCC5_p15_HNSCC5_P15_G04","HNSCC5_p15_HNSCC5_P15_A05","HNSCC5_p15_HNSCC5_P15_E02","HNSCC5_p5_P5_F06","HNSCC5_p15_HNSCC5_P15_D07","HNSCC5_p15_HNSCC5_P15_B01","HNSCC5_p15_HNSCC5_P15_E01","HNSCC5_p13_P13_H04","HNSCC16_P2_G01_S73_comb","HNSCC13_p19_HNSCC13_P19_E12","HNSCC6_p15_HNSCC6_P15_LN_C12","HNSCC16_P2_G02_S74_comb","HNSCC6_p15_HNSCC6_P15_LN_E01","HNSCC5_p15_HNSCC5_P15_F05","HNSCC16_P2_C06_S30_comb","HNSCC18_P7_A10_S106_comb","HNSCC5_p7_HNSCC5_P7_E06","HNSCC5_p3_HNSCC5_P3_E10","HNSCC5_p7_HNSCC5_P7_D08","HNSCC25_P20_B05_S305_comb","HNSCC6_p8_HNSCC6_P8_H11","HNSCC6_p15_HNSCC6_P15_LN_C11","HNSCC6_p15_HNSCC6_P15_LN_A01","HNSCC24_P13_R_LN_B05_S113_comb","HNSCC5_p5_P5_F04","HN25_P5_C12_S36_comb","HNSCC6_p15_HNSCC6_P15_LN_B07","HNSCC5_p15_HNSCC5_P15_G07","HNSCC6_p15_HNSCC6_P15_LN_D08","HN25_P5_G10_S82_comb","HNSCC5_p7_HNSCC5_P7_D01","HNSCC6_p15_HNSCC6_P15_LN_F03","HNSCC5_p7_HNSCC5_P7_A10","HNSCC5_p15_HNSCC5_P15_A08","HNSCC24_P13_R_LN_F08_S164_comb","HNSCC5_p7_HNSCC5_P7_C06","HNSCC6_p15_HNSCC6_P15_LN_A03","HNSCC5_p11_p12_hnscc5_p11_p12_H11","HN28_P3P4_A02_S2_comb","HNSCC6_p15_HNSCC6_P15_LN_B08","HNSCC5_p5_P5_D09","HNSCC5_p3_HNSCC5_P3_C06","HNSCC5_p5_P5_B08","HNSCC5_p5_P5_C07","HNSCC5_p11_p12_hnscc5_p11_p12_E07","HNSCC24_P3_H01_S85_comb","HNSCC5_p5_P5_G04","HNSCC5_p11_p12_hnscc5_p11_p12_A02","HNSCC5_p11_p12_hnscc5_p11_p12_A04","HNSCC5_p11_p12_hnscc5_p11_p12_E12","HNSCC16_P9_G08_S272_comb","HNSCC5_p3_HNSCC5_P3_C05","HNSCC5_p5_P5_A06","HNSCC18_P13_A09_S297_comb","HNSCC6_p14_hnscc6_p14_E12","HNSCC5_p5_P5_C03","HNSCC20_P12_C03_S315_comb","HNSCC20_P3_B01_S13_comb","HNSCC20_P13_A10_S202_comb","HNSCC20_P13_C10_S226_comb","HNSCC6_p15_HNSCC6_P15_LN_H08","HNSCC20_P3_B02_S14_comb","HNSCC20_P3_H01_S85_comb","HNSCC20_P3_C01_S25_comb","HNSCC6_p15_HNSCC6_P15_LN_H01","HNSCC20_P12_D03_S327_comb","HNSCC20_P2_F12_S168_comb","HNSCC20_P13_H10_S286_comb","HNSCC20_P2_D06_S138_comb","HNSCC20_P13_A07_S199_comb","HNSCC6_p15_HNSCC6_P15_LN_H11","HNSCC20_P3_H09_S93_comb","HNSCC20_P3_E09_S57_comb","HNSCC20_P12_D12_S336_comb","HNSCC6_p15_HNSCC6_P15_LN_B01","HNSCC20_P13_A06_S198_comb","HNSCC18_P13_A05_S293_comb","HNSCC13_p1_HNSCC13_P1_G10","HNSCC16_P9_G11_S275_comb","HNSCC18_P3_H04_S376_comb","HNSCC24_P3_H06_S90_comb","HNSCC18_P7_G09_S177_comb","HN25_P5_F06_S66_comb","HNSCC17_P3_A02_S194_comb","HNSCC5_p3_HNSCC5_P3_F08","HNSCC_combo1_HNSCC_ComboP1_C02","HNSCC16_P7_HNSCC16_P7_G09","HNSCC24_P3_D10_S46_comb","HN25_P5_G12_S84_comb","HNSCC25_P4_D09_S237_comb","HNSCC_combo1_HNSCC_ComboP1_A07","HNSCC17_P3_F02_S254_comb","HNSCC24_P3_B01_S13_comb","HNSCC16_P4_HNSCC16_P4_H07","HNSCC16_P9_E08_S248_comb","HNSCC16_P7_HNSCC16_P7_H02","HN28_P3P4_B10_S22_comb","HN25_P5_B06_S18_comb","HN25_P5_A09_S9_comb","HNSCC28_P2_A12_S12_comb","HN28_P5_C01_S217_comb","HNSCC16_P4_HNSCC16_P4_B11","HN28_P3P4_D10_S46_comb","HN28_P3P4_E02_S50_comb","HN25_P5_H11_S95_comb","HNSCC25_P4_E02_S242_comb","HNSCC25_P3_A04_S100_comb","HN28_P3P4_A03_S3_comb","HN28_P3P4_E12_S60_comb","HNSCC25_P3_F04_S160_comb","HNSCC25_P3_B12_S120_comb","HNSCC25_P3_G06_S174_comb","HNSCC28_P2_G07_S79_comb","HNSCC28_P2_D02_S38_comb","HNSCC18_P7_G10_S178_comb","HNSCC16_P9_C02_S218_comb","HNSCC25_P12_B12_S120_comb","HNSCC12_p20_HNSCC12_P20_A08","HNSCC5_p11_p12_hnscc5_p11_p12_D05","HNSCC_17_P9_A06_S6_comb","HNSCC16_P9_G03_S267_comb","HN23_P11_F01_S61_comb","HNSCC_17_P9_D02_S38_comb","HNSCC16_P12_HNSCC16_P12_A03","HNSCC_17_P9_D11_S47_comb","HNSCC16_P11_HNSCC16_P11_E09","HNSCC16_P14_HNSCC16_P14_B03","HNSCC16_P11_HNSCC16_P11_D07","HNSCC12_p20_HNSCC12_P20_G01","HNSCC5_p11_p12_hnscc5_p11_p12_G11","HNSCC12_p19_HNSCC12_P19_E11","HNSCC18_P14_HNSCC18_P14_E10","HNSCC13_p19_HNSCC13_P19_H09","HNSCC18_P13_E02_S338_comb","HNSCC18_P15_G03_S75_comb"
"PRPS1L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MINPP1",0,0,0,0,0,5.61790279014651,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10695752729841,0,0,0,0,0,0,0,0,0,0,4.21420143950286,0,0,0,0,0,0,0,0,0,3.95643815092284,3.13764229447452,3.26382618726543,0,3.22204685252215,0,4.48849765043776,0,4.69493799135031,2.35896444517746,0,0,4.81399479354787,0,5.00963980131658,0,0,0,4.66880577285209,4.1550900104479,4.03014542160186,3.59102961938535,0,4.31011839732671,5.31740962659277,4.23060006041119,4.12553159043854,0,0,0,0,0,4.21215921860765,3.87123235554063,0,5.39299572305196,0,3.57039685922859,0,4.25791443152321,0,3.75255017332384,3.87600458716051,0,0,0,0,5.11053868942174,0,0,0,0,4.68518209633647,0,0,4.07974623118561,0,2.42208686928768,0,0,0,3.67478149595477,0,0,0,0,4.0948257186868,0,3.76772484499123,4.18178175058697,3.28612385251895,0,3.7034800447777,4.64013433283826,2.49073475488095,3.199089075936,0,3.56361616856135,0,0,0,0,0,0,0,0,0,4.75549009882157,0,0,2.58399134141982,0,0,0,0,0,0,6.4877189593458,0,0,0,2.31253196560371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49108330590977,0,0,0,0,5.78790226366536,0,0,0,0,0,4.8747862492777,0,0,0,0,0,0,0,0
"BCKDHA",0,0,0,0,0,0,0,0,0,6.01808504281879,0,5.75277090435842,0,0,0,0,0,2.17702559958379,0,0,0,4.2464981606057,0,0,0,5.73522809967651,0,0,6.43732208243914,0,6.0233264152502,0,6.25037645413405,0,0,5.90830120902635,0,0,0,0,4.00332185696915,4.33456000137894,4.85781290462469,0,0,0,5.07982132691889,0,4.49917793329548,0,5.54487576021053,0,5.73480011836289,0,3.25505823895937,5.11338853006257,0,0,4.7315710373447,4.08461642051596,4.39958867622547,0,4.78048640067883,4.01058138954173,4.71210583697481,3.07501813868125,0,4.21553647296543,4.47390975519402,0,4.87048908692867,5.06839934410283,0,5.66432500194316,4.80462024807647,0,5.11207327089807,0,4.8743417703889,3.21525915333213,3.47476430456965,0,0,3.36520683893214,5.60852433087743,0,0,0,0,5.03401769774004,0,5.31111217083957,0,4.57638305867714,4.92729484829104,4.30226797211443,0,0,0,4.95916079731271,3.16079478590812,4.23044328393708,0,3.67171587191894,3.48335380073388,4.5208119340548,0,3.69559874233333,2.83902576935885,0,3.49528175298524,0,0,4.1791795738819,4.13759007536355,0,5.42169620923756,0,2.64686417128521,0,0,0,0,5.90546073085411,5.74678164664198,0,5.29286170215294,5.75034680133421,0,0,0,0,0,5.3841916371349,0,0,0,0,3.63573338470954,0,5.93215367765703,4.57986636571596,0,0,5.74820775105726,2.55330458687671,0,0,5.13427469785204,0,0,0,0,7.55032419436522,5.35053436356674,0,0,0,4.5601645182321,0,0,3.90718329479973,6.43767364795585,4.69966324262303,0,5.9861281511724,0,0,0,0,5.69897378857092,0,0,0,0,0,0,0,6.78390511104553
"AMDHD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79978856434222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NT5C3",5.56854457264251,4.51411294159434,0,4.40528335323892,0,0,5.25544636792532,0,0,0,6.12485440049979,0,2.41321773996175,0,0,5.75419677105832,0,6.09501895541917,0,0,0,0,0,0,0,0,0,0,0,0,5.19978667626144,0,4.80395040734647,0,0,0,0,0,0,0,4.9543700511172,3.52045132614019,3.45094822728851,0,4.63983297443084,5.24114536979222,4.71045748706105,5.58588986281684,5.62098060761572,4.4956698468191,0,0,5.05227950875007,0,2.63981577720243,0,4.39496900043693,0,5.15535766361773,0,5.2379499715395,0,0,4.62437857725966,0,0,0,0,0,0,4.44160813091625,0,0,0,0,0,0,2.86273366362572,0,0,4.55432335134543,0,0,0,0,4.83733087267024,3.66097235282056,5.58947237082656,0,4.47497969476824,4.98772974626608,0,0,0,0,0,0,4.17744433381637,0,4.87071138314876,0,4.83391449699805,3.27331813207671,2.80089843686969,2.25233727231112,4.11790619641801,3.57768876566454,4.53594608647702,2.50388669007796,3.67324890247526,0,0,5.32623772037819,4.40943690155064,3.82081980636481,3.9777734636979,3.92279840074591,2.53211435718902,4.28974005322422,3.66071629097994,0,0,0,5.81303676928117,5.27793196135719,0,0,3.46544823116072,0,0,0,0,2.38140013010422,0,0,0,0,5.97031854320596,0,0,0,0,0,0,3.32576470281585,0,4.34006031745679,0,0,0,0,0,0,0,0,0,0,0,0,3.72182615126574,0,4.14535493998483,0,0,0,0,5.97471459945706,5.30546474173652,0,0,5.64838157595523,0,5.9606740576246,5.84590743725511,0,0,6.05023240926385,2.25759215375752,5.48468462776364
"TYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC27A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01735328272208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8026191848432,4.02893930163011,0,4.0794267651604,3.35410591183367,3.60545678351351,0,3.5527301345737,3.66020413032602,0,3.54644874970201,4.06047416143315,0,0,3.95798171348346,0,0,3.88997161846913,2.75942223809335,0,5.33990759079672,0,0,0,5.88194831036625,5.73101939167279,0,0,0,0,0,0,0,0,0,4.77168679060538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50445110641666,0,0,5.61045752480958,6.11877560218625,0,0,0,0,0,0,0,0,5.06363812443252,0,0,0,0,0
"ALAS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUCLG2",4.46282194820461,0,0,6.28555476378228,0,0,5.53691017458653,5.48303079742028,2.87697159323918,0,0,0,0,0,3.26233516349376,0,0,0,0,0,0,0,0,0,0,5.31683062035679,5.47339347119649,0,0,4.86144632885759,0,0,0,0,0,0,0,0,0,5.43891573625874,4.31307030019058,3.84905170848334,4.20036755696551,4.82537013904704,0,4.02483698982674,5.33809985278584,4.626943078856,0,3.62457237787533,0,4.61600251103734,4.57933636347368,4.40220554929824,2.7619239851868,0,0,3.24336793446896,5.48180833769135,0,5.12303105720609,3.73506213107612,4.91067346227151,5.67261539516583,5.72145876099445,4.21773489610382,4.66647533990179,3.67146032427681,5.32471836403113,4.96623386932598,3.87954030974255,4.84920788381789,0,5.80456553286888,0,0,4.83153742796246,4.38379595202314,5.00919892934968,4.9989823007622,4.34973626920863,3.76814347040294,0,0,0,3.59319199817525,0,4.02137636596387,3.14717115050663,0,5.28691995924385,0,2.73372919848035,3.72376713127157,5.42760543302632,3.29325113937264,4.05334450124787,3.37863443648972,4.95024154049345,0,4.43616373607955,2.76127157433204,4.61509664750486,4.44513396862117,3.82795214291247,3.61846657177741,3.5527301345737,3.85738896086925,3.34571519275304,3.4719271302446,3.65815499419088,3.8275377006302,3.78010345039716,4.97963515102454,3.08148849737048,3.74734300128448,3.63736260459384,4.08190227447945,3.31124420518243,3.61769207909381,5.14558492525863,4.9470707410285,0,0,0,0,5.08545654710473,0,5.74585464831025,0,0,0,0,0,0,6.32627693525057,6.05907975935505,0,0,5.25515608399587,0,0,5.66732693538466,0,0,0,4.77586355752106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61045752480958,0,5.7016870399075,0,5.63150019660942,5.32999951989951,0,4.30203468900861,0,0,0,0,0,2.89757938494498,5.45173306595548,0,0
"PYCR2",0,0,0,0,0,0,0,6.37591127044716,0,0,0,0,0,0,0,0,3.83532452302614,0,0,0,4.93969444845706,3.23276924465104,0,0,0,5.24767996716125,0,0,0,0,0,0,0,0,0,0,4.62362421059162,0,0,0,2.67003299680352,2.98873656708448,0,0,0,0,3.73792443324098,3.93381303751392,0,0,3.05819647580414,0,4.78823748211811,4.59099095052736,3.64755514576609,4.61351122471449,0,0,0,5.37473464489712,3.56248514592526,2.7310915341278,0,0,0,0,0,3.96366551246946,0,0,0,3.95204927032387,0,2.73822928025864,3.17722834908742,0,0,4.37839756001189,3.42593044003303,0,2.67901871320073,3.31345319528898,0,4.04075065996105,0,2.91773815352381,0,2.63981577720243,3.84929951045359,0,0,3.71819555397408,0,0,3.57595356862527,3.87386575465081,3.97744946648899,3.74364470816936,0,0,6.05985824878794,5.03519169934986,4.70708522760592,4.77936810873833,3.23436561424336,5.53001926789271,4.97742687243743,3.48980753681181,4.26158639449322,5.37061865453993,5.38650120194199,5.62412969278427,5.42681280957517,5.62727846595222,3.23990079266096,4.98537534706249,5.10067061826143,4.89077907428688,3.09829350769085,5.51888986475536,5.17022653398224,4.94603825740695,6.05518712475865,5.56811439787991,0,0,0,5.14259381030121,0,0,0,0,0,4.43102344863656,0,5.55506282946448,0,5.1254409481192,0,0,3.19577076276885,0,2.75430289183175,5.0175736186232,4.42687866954957,0,2.40870728137654,4.15793707861824,2.55566072161946,0,3.2527230038501,4.24086274711221,5.20597010695771,0,0,5.97031854320596,0,0,6.01496827205689,4.16228483658483,5.38686205236498,5.03152269080305,0,2.8605290290685,0,3.95716935573345,4.95215847576299,0,4.64359943320307,0,4.79233491711014,5.63121399520216,0,0,0,0,4.27891014844615,0,0
"PNP",5.5346851641974,0,0,0,0,6.54081996826703,5.55240878994404,5.6419448027661,0,5.58388347536275,0,6.57760410717266,6.51167520445654,0,0,0,0,0,0,5.57686008029459,0,0,0,0,5.70854061400014,0,0,0,0,5.48540365371093,0,0,0,0,0,0,6.39265877855359,3.30802059762532,0,0,4.59167171029502,5.43070364104437,2.98823290095944,0,4.18493480778785,4.56683654566101,6.6837931619905,6.09254366371104,5.27640944995683,5.32978250909288,5.2542852095137,5.10140175953751,5.91646651310662,5.38794457273665,4.43969141520588,5.3975409004926,0,7.25223035319385,6.23605943187082,6.95937058008736,3.65559246134709,4.70521138085971,4.25760185375689,4.53001652324544,0,0,2.44750122480598,5.38043814286929,0,0,0,0,0,5.18552149637866,0,0,0,0,5.70489982290066,0,5.75191535723997,5.55800351546498,0,3.70373409234868,5.48166451535373,0,0,0,0,4.69913829828543,0,2.38967572537641,4.04091122690987,5.18391969580786,0,0,0,4.13584590293211,0,5.28083170164251,4.28140451207037,3.73101876488448,2.53365960665077,5.05110660787305,3.67733484929368,0,4.72550988779013,0,3.96707352802111,4.21585056809767,4.11417022254769,4.03689599488031,0,2.59456086285805,4.27079869052319,3.00421100127369,0,3.13417093358672,4.46840552292098,0,5.61761646631295,0,5.6542450828918,0,0,0,5.63436207006228,5.80748440735136,0,0,0,5.6843327802444,6.07202937669061,0,6.17621337624713,6.38731129044545,5.64001352128138,4.81905158453095,5.52226504071781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64013433283826,5.57227249683222,0,0,0,5.70232962057672,0,0,5.53454160931131,5.35754405247683,0,0,0,6.20106290105894,0,2.43278320797876,0,0,0,0
"ECHDC1",5.51350312311737,0,5.49913349481604,0,0,4.36218456365299,0,2.3485103073983,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60988662712498,0,5.47619871204464,0,5.08494432369374,0,0,0,0,4.84824322477046,0,0,5.48597886107568,0,2.22894527363129,5.0677401708907,0,0,0,0,4.14171114744276,0,4.12243466703722,4.31672004210716,3.81965793620914,0,4.35623303267892,0,4.74346101835727,4.66354290263885,4.74286302668602,0,0,0,5.64266006292127,4.35414526484224,3.86349039825523,0,0,3.35656520717963,4.66587386907793,0,0,3.01362020144684,0,0,0,5.23918461236864,4.8411176851697,0,4.59923310763003,0,0,5.2718413034635,0,0,0,0,2.99477440599793,4.77578898319988,4.9470707410285,2.14476279049405,0,3.96593771091785,3.9156086143472,5.14113456771041,4.87352685940869,0,0,0,4.61290719996454,4.79963291549207,0,4.37315057524547,0,4.26408558556456,4.50824801884775,0,0,3.9485523891733,3.41246970829535,4.3313823089052,0,2.91773815352381,0,3.66455592677275,3.35966004496687,4.74689896663527,3.37002026499252,3.34041667339394,3.86703311027591,0,3.67733484929368,4.15603914446032,3.00270700734764,2.14359506500047,3.67120476446788,3.89956661758852,0,4.37824327685551,4.93858772109413,0,0,0,4.69141169849416,5.75583644806414,0,5.34988387822149,5.20116901149936,0,0,0,0,0,0,0,0,0,0,0,4.55773737769824,0,0,0,0,0,0,0,0,0,0,0,5.92526907287401,0,0,0,0,0,6.56490005812776,0,0,0,0,5.27930938396696,0,5.6693280732379,0,2.68517854748941,0,0,0,5.82008283588015,0,0,0,5.36953538614837,5.64130105509865,5.31885708018705
"MDH1",7.55290096293926,2.45525484543541,6.9857925568547,0,5.51328763235094,0,0,6.22004555029062,5.9289599267255,0,0,5.61754488494898,6.33944608108645,4.61856876031693,6.49319936449701,0,0,7.72979180942357,6.58034118152656,0,5.01882213718098,5.9975388220265,0,5.79416966012472,0,6.15071670921931,0,6.58356940690864,6.9748889561215,0,5.72752364213056,4.27391934889159,5.51967983507811,5.79481058468629,3.94838969956229,6.22441983053526,5.96613479620921,0,6.19463980546782,0,5.31596208440652,4.7168249884727,5.22807033377478,4.37338211895299,0,0,0,0,4.54916246348593,0,5.84576519967791,2.36743995289045,6.0621228744389,5.75633546541481,4.41051346936948,6.13743383776896,0,5.60666262388381,5.18253622341378,5.17233936930691,5.5840267931169,5.81631086039963,5.40619614722977,4.96571822452119,6.60279576166648,5.94613242020994,4.75295066611232,5.15244092375691,5.19585743995012,4.9402108958575,5.03144930301976,4.80112185078644,4.44314124999893,0,0,5.22407361757951,5.88656661173534,5.21440577268543,5.23054066300057,5.36866873745343,4.51654940351573,6.14937444295837,5.85515178242735,5.89288928924519,5.27604693222327,6.26038923450327,5.77194411696478,6.34184017883623,6.3977947820267,5.91036043526,6.23662371634635,5.3296378341286,6.07733560937913,6.7156808517621,5.25355945475813,5.4160019129541,5.17831242189822,5.39588164392935,6.69619914970225,0,7.05894761687662,7.12619716084455,7.24358027709199,6.85886973561249,6.40757322034252,6.98586244855391,7.22237160675177,7.54670273699009,6.38161152417191,7.27936342123968,6.6767132724365,7.65532047043295,7.03868923628734,7.55533841800799,5.69740286041858,6.8410959177704,6.38548178878841,6.33205197707497,5.92768235958656,6.95112124510958,4.80305723841272,5.63099934246691,6.53709847915324,6.12690406676154,4.69036113018407,5.51910531336228,0,0,6.33958691284515,0,5.84725866865444,0,0,0,5.76809602911334,0,0,6.35979307651155,0,5.75726219364145,6.0054749986201,5.03365080659034,6.56518083233827,6.80007860401944,5.7377245542829,6.48757843080923,6.790416832155,6.7094443533563,7.03435771924574,0,5.3998492520953,6.05278061220471,7.28229268178395,7.35027885883893,0,0,8.80094111588114,0,0,5.71346577883978,5.88379569346182,6.21517700393561,6.67895646639721,6.35613249731433,6.23168604002546,0,0,6.60202398717771,5.39227419168997,6.68344268557058,6.06346744607805,6.65238498777924,5.95124027765657,6.93161413988062,0,6.64831792987932,6.88321647473851,6.21665877968513,7.61348102574838
"ALDH4A1",0,0,0,0,0,0,0,5.8955885640307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0229026727447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55682706907272,4.52225778136424,0,4.21600761132551,0,4.09713687148106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1267346600975,0,0,0,0,0,0,0,0,0,4.188716896071,0,4.53161324934552,3.42942350380668,0,0,0,4.70386204749262,3.88709854233265,0,3.73455686858842,0,3.89161280025709,4.24907984658401,2.42657057245518,0,4.38741893547768,0,3.7752555006792,3.96918240470222,2.3369818981055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03986747875593,0,0,0,0,0,0,4.14804711342929,0,4.05053882142072,0,6.25954314983641,6.102090547236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC32A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC1A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21129401163207,0,0,0,0,4.01912204196334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
