1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M_1,ADPGK,G6PC,G6PC2,G6PC3,GALM,GCK,HK1,HK2,HK3,HKDC1
M_2,ALDOA,ALDOB,ALDOC,FBP1,FBP2,GPI,PFKL,PFKM,PFKP,TPI1
M_3,BPGM,COQ2,GAPDH,GAPDHS,PGAM1,PGAM2,PGAM4,PGK1,PGK2,PHB,PPT1
M_4,BPGM,COQ2,ENO1,ENO2,ENO3,MINPP1,PCK1,PCK2,PGAM1,PGAM2,PGAM4,PHB,PKLR,PKM,PPT1
M_5,DLAT,DLD,PDHA1,PDHA2,PDHB
M_6,LDHA,LDHAL6A,LDHAL6B,LDHB,LDHC,LDHD
M_7,ACLY,CS
M_8,ACO1,ACO2,IDH1,IDH2,IDH3A,IDH3B,IDH3G
M_9,DLD,DLST,OGDH,OGDHL
M_10,SUCLA2,SUCLG1,SUCLG2
M_11,SDHA,SDHB
M_12,FH
M_13,MDH1,MDH2
M_14,PC
M_15,PHGDH,PSAT1,PSPH
M_16,SDS,SDSL
M_17,CBS,CTH
M_18,AGXT,SHMT1,SHMT2
M_19,GAMT,GATM
M_20,AGXT,AGXT2,DAO
M_21,ALDH7A1,BHMT,CHDH,DMGDH,PIPOX,SARDH
M_22,ALAS1,ALAS2,AOC2,AOC3,GCAT,GLDC,MAOA,MAOB
M_23,GSS
M_24,ANPEP,GCLC,GGT6,GSS,LAP3
M_25,GGCT,GGT1,GGT5,GGT6,GGT7,GSTA1,GSTA2,GSTA3,GSTA4,GSTA5,GSTK1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTO1,GSTO2,GSTP1,GSTT2,GSTT2B,MGST1,MGST2,MGST3,OPLAH
M_26,GCLC,GSS
M_27,SDS,SDSL
M_28,BHMT,BHMT2,CBS,KYAT1,KYAT3,MTR
M_29,CDO1,CTH,GOT1,GOT2,KYAT1,KYAT3,MPST,TST
M_30,AHCY,AHCYL1,AHCYL2,CBS,CTH,DNMT1,DNMT3A,DNMT3B,DNMT3L,MAT1A,MAT2A,MAT2B
M_31,ADI1,AMD1,APIP,ENOPH1,IL4I1,MAT1A,MAT2A,MAT2B,MRI1,MTAP,SMS,SRM,TAT
M_32,BCKDHA,BCKDHB,DBT,DLAT,DLD,SDS,SDSL
M_33,ALDOA,ALDOB,ALDOC,FBP1,FBP2,G6PD,GPI,H6PD,PFKL,PFKM,PFKP,PGD,PGLS,PGM1,PGM2,PRPS1,PRPS1L1,PRPS2,RBKS,RPE,RPEL1,RPIA,TALDO1,TKT,TKTL1,TKTL2
M_34,ACACA,ACACB,ACSBG1,ACSBG2,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,FASN,HSD11B2,HSD17B1,HSD17B12,HSD17B2,HSD17B6,HSD17B7,HSD17B8,MAST1,MCAT,MECR,OLAH,OXSM,PECR,RDH10,RDH16,RDH8,RNF2,SLC27A2
M_35,ACAA1,ACAA2,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACAT2,ACOX1,ACOX3,ACSBG1,ACSBG2,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,CPT1A,CPT1B,CPT1C,CPT2,ECHS1,EHHADH,GCDH,HADH,HADHA,HADHB,HSD17B10,HSD17B4,SLC27A2
M_36,CAD,DHODH
M_37,ACY3,ASPA,FOLH1,NAALAD2,NAALADL1,NAT8L,RIMKLA
M_38,ALPP,ASNS,ASPG,ASRGL1
M_39,ADSL,ADSS,ADSSL1,ASL,ASS1
M_40,GOT1,GOT2,IL4I1
M_41,AZIN2,GAD1,GAD2,GADL1
M_42,ALDH1A3,ALDH1B1,ALDH2,ALDH3A1,ALDH3A2,ALDH3B1,ALDH3B2,ALDH7A1,ALDH9A1,AOC2,AOC3,SMOX
M_43,CARNS1,CNDP1,CNDP2
M_44,ABAT,ALDH6A1
M_45,DPYD,DPYS,NT5C,NT5C1A,NT5C1B,NT5C1B-RDH14,NT5C2,NT5C3A,NT5C3B,NT5E,NT5M,PNP,TK1,TK2,TYMP,UCK1,UCK2,UCKL1,UPB1,UPP1,UPP2,UPRT
M_46,ECHDC1,MCEE,MUT,PCCA,PCCB,SUCLA2,SUCLG1,SUCLG2
M_47,ACACA,ACACB,ACADS,ACOX1,ACOX3,ECHS1,EHHADH,HADHA,MLYCD
M_48,GLS,GLS2,GLUL
M_49,GAD1,GAD2
M_50,ABAT,ALDH5A1
M_51,GLUD1,GLUD2
M_52,AMDHD1,FTCD,HAL,UROC1
M_53,AACS,ACADM,ACAT1,ACAT2,AUH,BCAT1,BCAT2,BCKDHA,BCKDHB,DBT,DLD,ECHS1,EHHADH,HADHA,HMGCL,HMGCS1,HMGCS2,IVD,MCCC1,MCCC2,OXCT1,OXCT2
M_54,ABAT,ACAD8,ACADM,ACADS,ACADSB,ACSF3,AGXT2,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,AOX1,BCAT1,BCAT2,BCKDHA,BCKDHB,DBT,DLD,ECHS1,EHHADH,HADH,HADHA,HIBADH,HIBCH,HSD17B10,MUT
M_55,ACAA1,ACAA2,ACADM,ACADS,ACADSB,BCAT1,BCAT2,BCKDHA,BCKDHB,DBT,DLD,ECHS1,EHHADH,HADH,HADHA,HADHB,HSD17B10,IL4I1,MCEE,MUT,PCCA,PCCB
M_56,ACAA1,ACAA2,ACADM,ACADS,ACADSB,BCAT1,BCAT2,BCKDHA,BCKDHB,DBT,DLD,ECHS1,EHHADH,HADH,HADHA,HADHB,HSD17B10,IL4I1
