"","A1S1","A2S9","A3S17","A4S25","A5S33","A6S41","B1S2","B2S10","B3S18","B4S26","B5S34","B6S42","C1S3","C2S11","C3S19","C4S27","C5S35","C6S43","D1S4","D2S12","D3S20","D4S28","D5S36","D6S44","E1S5","E2S13","E3S21","E4S29","E5S37","E6S45","F1S6","F2S14","F3S22","F4S30","F5S38","F6S46","G1S7","G2S15","G3S23","G4S31","G5S39","G6S47","H1S8","H2S16","H3S24","H4S32","H5S40","H6S48","A7S49","A8S57","A10S73","A11S81","A12S89","B7S50","B8S58","B9S66","B10S74","B11S82","B12S90","C8S59","C9S67","C10S75","C11S83","C12S91","D7S52","D8S60","D10S76","D11S84","D12S92","E7S53","E9S69","E11S85","E12S93","F7S54","F8S62","F9S70","F10S78","F11S86","F12S94","G7S55","G9S71","G10S79","G11S87","G12S95","H7S56","H8S64","H9S72","H11S88"
"MDH1",136.329681012672,4.69654154695913,148.785921684829,177.472469411264,95.9402157992795,67.611841643894,90.6347137832095,163.886907358172,120.153645283979,191.569320541562,63.6625821245262,194.052054191997,138.910231914058,111.991376988585,114.405241613431,120.340397052544,66.057967923023,91.6020565939874,29.8576301271309,77.0725829504522,140.821990915228,226.662964586888,89.9371914999046,88.3277121476569,35.1083076576728,136.025192527283,149.895955961681,27.9039116621957,102.733888403043,9.64112769326871,76.2105009339543,133.26580109505,89.5314009339287,94.86057063225,203.420783913629,77.8412134968319,136.090282164705,59.0288150520654,65.0207518862862,103.903962581846,73.4472919633704,118.42000372814,44.3002222060525,239.047128070221,95.3184158218343,247.680706048424,48.9388871770679,117.488516362708,335.405910175883,200.805965968433,322.262378322375,179.11680142114,111.62583674395,187.501640520381,214.398759778899,94.8800006268372,308.496745289889,99.1846025784376,147.232286308523,240.267527473842,259.100135499641,249.807767206988,80.0522688113674,162.066203606927,69.3999943502019,127.944031244988,170.814471300133,0,243.899443827505,112.124276374888,148.047742125482,179.893154767713,222.275659280218,301.658380408281,54.4812841949809,66.5816003563277,95.898760201939,43.7973433556565,3.14992583562619,78.3454075272278,125.033191602216,18.3235593452824,297.469989484547,61.2430645992157,0,0,90.4098233999876,0
"CS",17.5112323063499,53.8121543414703,12.2970120212419,15.0492968228635,0,10.6848065619415,0,9.10920087468597,22.3198844652322,20.181611360665,19.3060802246121,12.9055200115853,4.83548142321314,1.80726704573117,30.0957087679193,6.166042852222,42.604905643996,20.6368238482097,8.4456102995123,4.47850626642218,8.39206219006581,11.6609296075065,1.92057527221598,9.81651595071305,30.3831508730956,5.08915247018662,23.2136199356069,11.5891679620967,6.81169891996872,17.4090976239928,5.55314388686709,0,46.0282106338758,8.70512836872868,5.84693405172094,1.09320470052768,4.61194537034541,10.8258002870355,15.2196994048489,10.2758095164217,29.9870714201619,8.2318450870609,4.95808765420234,25.3680333926177,0,4.90240229386879,6.14418012022843,11.1677695356237,1.42565834320065,0.145732765392577,51.8880747246391,0,0.828629335107051,0,0,5.03349382037267,0,0.125297951072422,7.5784450625051,2.99640102991433,0.140440908389547,0,11.1943358324069,2.77833249964466,0,39.1298421613922,0,0,0,0,0,10.6408390841149,5.26371477518012,22.5560868749365,14.527536237559,18.2339489142539,11.7029236567786,25.6939712849697,0,7.20050860847945,0,86.2820781262202,0,7.68623014345575,0,0,0,0
"PFKP",25.5526030971536,27.7843098905713,43.8282032767015,21.5600526375749,123.366384975075,31.1664532574946,2.56221728462454,34.4942187083693,43.9220179680152,76.6581449770768,5.70298038667485,40.319662595004,18.9256225128197,69.6217116499245,98.2753090528275,37.5980710558979,0,2.98316027690849,38.2620841796322,3.06659077582301,66.1285179369034,63.651140066862,29.0268582213874,48.1692946302103,22.9078162984323,51.426748636179,8.63506863835232,117.271633235,19.2372744353525,6.96370120607684,31.4104007198847,42.9397956981569,36.6909154699345,44.6374002363076,46.2141206589114,22.7935214560085,42.9121816624957,49.2642749569386,92.2245805127567,62.7136842556666,107.71076731907,73.5001069215562,2.34415080070626,115.416556820213,15.813745514028,42.7438555781457,11.5228787428477,68.916798217917,13.683047802003,10.4179038168604,7.11189940653052,35.3128184190498,9.14130997269668,51.4617305033602,0,15.3771843090408,33.4412709945519,1.16110471037211,0,24.7918726653117,3.16061741597766,32.3772126587131,35.6951850716404,1.4712063410029,36.2384758118435,106.70989536921,3.75428865533109,0,0.819092919660218,6.74359594011146,40.6633323048179,34.4140250876474,9.75550512551372,5.10269738653175,1.6642957922466,0,13.9932981337516,0.120191616590512,19.8264252503361,2.38304673860036,15.40098526859,38.7887187704306,11.4653116707132,0,0,0,0,0
"PKM",113.407754132417,171.805601337571,70.9372147975108,185.859512084852,213.084200138754,92.7946510288947,94.6917305615563,165.194847350932,144.974943591872,192.912900145004,186.750557677209,164.451829808392,199.748335564488,258.238787749537,206.14633901994,137.332040172415,256.345993556157,217.307808351077,142.708708917544,227.817175428485,231.331767472379,119.434161737819,138.673108501176,146.841976190923,204.098497479194,249.363839678828,141.865524702729,133.996055864516,221.154588796617,123.67362490647,80.5688548486139,169.30648215997,143.620469173659,158.521636071553,85.9329202907533,158.003473498143,178.147142064843,165.261600995331,176.499503213669,120.464531198713,166.657099546704,156.202446804421,129.486065727441,262.227485002976,61.5874356396146,121.217788556979,73.046638429716,129.359340623748,127.119746836395,91.6544324028049,126.2543225274,31.1051365301363,48.8958015710036,11.3041539546427,102.619661819805,98.3307335911686,126.121083268954,62.8922912633899,42.5124388285557,132.049306290652,42.1700249206595,57.495066172771,114.443042220769,64.0557507785301,184.510090710456,36.5761792384779,68.0077947158441,0,138.762138744944,99.4037198543521,77.1571457616722,71.8341853335039,80.5429689062258,209.640100802672,62.7071806120646,154.863621908616,26.5060312967038,130.74828564923,36.8608577047568,110.66945792002,39.4596507058985,109.098512057436,82.1261591638976,120.463057745869,68.7432401733732,0.238095481632902,80.3134771521448,61.4380362189718
"IDH3G",18.2862509610568,0,2.22885736417402,0,53.4659681741666,72.1152956714086,9.12100315674955,4.99157792022148,30.5600956683937,19.5808251210643,0,0,85.2052512567027,52.3785500954298,62.5091797225537,0.88053906023634,10.6796688279807,0.838379972054867,18.5735041080772,64.0433273603458,18.204643100563,71.1374263749373,0.754234013785222,1.23362208546613,48.8336424441265,0,1.80818774751875,11.9703102504625,37.4505551956175,41.9059640589887,0,20.9269134195392,34.4024356089423,0,77.3942466131702,27.0468579956464,3.10486085082825,0,0,74.6898268865334,3.95288368200996,30.1264682891609,21.6962933439531,14.4282239343186,2.05953320033321,46.2056378142775,17.4935006864398,44.5319592445112,0,0,0,0,0.976239419093732,0,90.1462342661456,26.457586016895,0,42.8092878178207,0,1.05905186198996,2.97825699653623,6.254238475078,0,13.9659013423433,66.6613403638481,60.5890187590973,0,0,1.82238376862202,0,0,0,16.3007717710957,3.70020161362536,109.604628155418,63.9956318083972,0.889526128803076,0,4.62808389246218,0,0,0,0,1.27093854492258,0,0,0,0
"SDHA",3.03934665462712,0,16.1815629571182,15.5863615499359,0.98087348066872,1.10642210299778,7.57524445792399,39.1510481287905,4.60687492855284,36.4660885335274,0,11.2356076094659,1.60556571899706,3.86452894607642,8.00174797673802,3.28198535209526,0.138454778507091,18.7490884529455,0.143329216900547,5.42511843513844,0.101728899834702,0.36597192629207,73.4582812291616,8.49632746415289,32.1157710100128,2.46146696953581,1.6116338783876,23.2780624720314,33.7553010028412,6.12149695837269,1.927668938421,22.8543680091117,3.59071513462562,11.697123960196,0,0.208716941810158,4.12587598949917,10.6789036172693,0,3.85725397283004,20.018163552765,0.668783483384101,0,16.0330537364573,24.475433917197,2.84020595325374,0.195509966249664,2.09937138177631,1.22485360876976,3.33883274738141,0.100066468811682,0,0.210938208412078,50.0832138887491,0,0.985646391752106,0,0.574131563472967,0.590568440139515,25.28590019066,8.68750069620665,0,0.0743389966226358,3.67775260432504,0,0,0,0,0,1.0941349669622,5.61541318066402,3.39452434620489,5.28321566289717,5.01511281569979,36.4838732135958,22.9812106118665,0,13.0352346024529,0,2.00922991153851,12.8170526588418,21.9267263041268,4.59839476547041,59.8316341234716,0.753052493387103,0,0,0
"ENO1",1774.12054885844,1371.52579903147,1426.58742028016,2539.90330645133,3256.79477959078,852.993856026444,233.620421447108,1920.90017875213,1056.22879508485,2414.33331159352,760.293641942066,912.214193857805,2441.26945010277,2234.51301169877,2789.86561285494,1996.50796914225,3107.52448912576,2866.81948556409,1191.20745588379,1885.66479797377,2195.11339722035,2904.90814427241,3876.91070493252,2733.14224811711,1678.715423681,1619.98292310806,1319.44300529029,1273.65250311484,2480.47654761673,1448.8680851384,619.221842968365,1296.94967747747,1440.16478251765,1498.22608480932,1031.96048490567,701.549477895341,2352.3775847695,782.867693053588,2957.41292897182,1154.45196548459,1778.01292260606,1530.64394736492,1244.18759106882,1183.80767003723,983.992720286132,1270.91629565522,1505.20964403811,1774.96536262226,3715.79684239142,984.839642085099,2685.9114193018,751.334221358959,482.059198132088,1339.14559190731,2603.85752831699,2567.31584608156,861.736527173814,1680.11256496392,2217.19890733656,2383.57236728878,1217.80938621235,1739.38800969926,2126.66591812603,1739.74127061554,2156.44930794445,3221.01404201325,2346.42212240982,1979.00408598377,2625.82709750563,2372.46750339673,896.032105687821,2424.73520507025,2385.61501207555,2193.89515820376,1866.06159208704,633.792559526146,668.020638252149,2339.0845795714,1439.17389664637,1006.54403236393,1867.54721067267,1702.58247042275,834.915698705991,1970.63669403242,1022.1014887648,48.9813176963574,2493.98183266867,129.427999579103
"DLD",81.7400134171664,60.1483479039129,47.9984580591345,68.4932528533229,116.897634760569,110.272428540124,14.6146475613845,12.7968647001715,26.2370177568995,80.4780669495458,85.5881140297753,159.348564209626,66.5479872552619,166.160862048928,77.8377726850088,121.675492901575,186.61781087142,120.506744732054,150.332819618577,113.998240649666,115.229298168908,174.654847177852,78.3117376164419,246.052315383329,89.9454786535213,119.075411337436,171.982063296201,60.0337517309195,121.980529474835,117.118141299,59.364879204236,32.4233485512584,111.517167441129,46.0623337303765,37.3975829170939,66.3680880849416,124.333710391734,37.0577828659252,47.7701529536604,79.538534274525,135.288544319382,91.6239430286266,97.7674120664744,101.809227258855,227.392313117396,216.081888550853,98.3561605904051,88.4269072584631,17.6547298188335,127.64886656565,54.4568559291614,79.2932209784221,283.814851566567,46.786006285515,117.185911641996,87.3201976439408,205.83344838379,49.0468058909359,112.486982852656,5.43016401024105,13.0649004631555,151.177115874685,32.6939231581696,71.8322951089483,0.632959614212938,26.6089678132774,177.083428038179,0,197.34651951347,62.6976892399484,114.769923002814,70.8693898922588,197.685560973149,31.7355657550567,220.912364948474,61.0044663603572,97.6041315869037,160.695669696823,137.633747551905,190.715693697989,56.6821284891046,16.8992852330261,138.716516427143,72.6599571543391,106.822274957869,0,80.1414176495084,5.13074798783986
"FH",11.3001404553932,1.09410561714874,45.2347746663739,17.2523230835298,0.426530884347229,8.11899202506163,0,5.69836857531167,62.6529075761219,133.253096991604,0,26.2289330521172,0,92.3665331548942,0.666295699872805,0,15.7139709797028,7.44404700677475,0,0.923126859127299,46.9792798053633,0,1.43505169149471,51.6376236251066,59.5370429847275,41.0681774547917,50.4587368908431,12.8111868239916,23.0732785638305,16.4706348921108,36.212097951335,105.601140220868,0,64.2212719937429,0,79.2336087534416,9.45199656212926,2.02225646118118,8.91013214457539,25.5068199661527,6.89424805113396,96.3193087938788,5.82163613419096,5.22895617307506,1.7415971694072,2.52625482833865,13.7727735047978,0,28.7617585499073,7.4046124130419,0,0,0,0.443455372225162,0.850149839121683,0.385745737724459,0,8.98775891053946,149.307888000161,168.813624914889,94.8633096102863,0,0,0,0,1.67072995543039,0,0,16.6434174767933,157.483979908839,129.378732365967,105.272922797904,0,0,4.17498415359715,9.90864450802593,0,0,0,0,0.570013965490358,0,0,0,0,0,0,0
"ACO2",8.8271171017161,0,26.0754800735506,13.7173259261027,33.6873902465956,0,27.9799073111987,9.06154824670942,25.3257847547773,42.8395685495733,0,0.817828647504768,43.6324900353418,52.1099356612797,22.956780572455,4.44028327145905,32.1689279191274,1.12738351104829,0,40.1241509637603,0,1.51840765063421,7.60673279678711,31.311212084752,19.1264307624555,34.6689538952683,45.2866908185634,2.51510555482141,0,3.17474072024488,38.6562577425318,14.6821403468934,28.2273730850466,34.3907093678103,0,75.7715841522017,6.68025295259618,0,0,7.72589647081687,48.5040152421144,4.16214694967255,0,89.6181753612553,29.0796302428636,25.4425931709295,3.65024509369918,26.675095408875,40.9374035947084,0,0,0.304029008195715,57.5428836048195,16.6893293538102,11.7165416580957,8.58778261535342,0,1.19102818524966,0,0,0,0,0,89.499295919016,0,0,6.62109063990247,0,0,48.9261152366179,0.375777384179151,54.9481198811851,0,1.13084607592856,0,0,0,11.5069865445527,0,0,0,11.6632558967693,0,0,0,0.505002814421085,0,0
